17
event
gridLine
gridStat
year
month
day
julday
hr(gmt)
min(gmt)
latdeg
latmin
londeg
lonmin
latitude
longitude
depth(m)
filename
 362  400.292   79.832 2004  1 18  18 18  16 -66  0.170 -67 57.810 -66.003 -67.964  320 c2004018e.std
 372  399.888   99.619 2004  1 18  18 23  48 -65 52.840 -68 16.730 -65.881 -68.279   50 c2004018f.std
 373  400.505   99.525 2004  1 19  19  0   5 -65 52.640 -68 16.070 -65.877 -68.268  350 c2004019a.std
 386  399.822  120.200 2004  1 19  19  8  50 -65 45.040 -68 35.890 -65.751 -68.598   50 c2004019b.std
 387  399.647  120.274 2004  1 19  19  9   7 -65 45.080 -68 36.120 -65.751 -68.602  360 c2004019c.std
 393  399.816  140.398 2004  1 19  19 11  22 -65 37.330 -68 54.450 -65.622 -68.908   50 c2004019d.std
 394  399.793  140.430 2004  1 19  19 11  38 -65 37.330 -68 54.500 -65.622 -68.908  360 c2004019e.std
 404  399.905  160.064 2004  1 19  19 16  21 -65 29.750 -69 12.260 -65.496 -69.204   50 c2004019f.std
 405  399.837  160.105 2004  1 19  19 16  41 -65 29.760 -69 12.360 -65.496 -69.206  350 c2004019g.std
 415  399.830  180.167 2004  1 19  19 21  32 -65 22.030 -69 30.440 -65.367 -69.507  150 c2004019h.std
 416  399.879  180.016 2004  1 19  19 22  17 -65 22.070 -69 30.260 -65.368 -69.504 2600 c2004019i.std
 429  400.237  200.068 2004  1 20  20  8  25 -65 14.170 -69 47.820 -65.236 -69.797  150 c2004020a.std
 430  400.125  200.754 2004  1 20  20  8  18 -65 13.950 -69 48.530 -65.232 -69.809 2600 c2004020b.std
 433  300.208  200.310 2004  1 20  20 18  18 -65 50.810 -71 22.770 -65.847 -71.380 3080 c2004020c.std
 440  300.132  180.018 2004  1 20  20 23  21 -65 58.880 -71  4.820 -65.981 -71.080  150 c2004020d.std
 441  300.160  180.094 2004  1 20  20 23  59 -65 58.840 -71  4.860 -65.981 -71.081 3070 c2004020e.std
 458  299.880  159.868 2004  1 21  21 12  47 -66  6.930 -70 46.980 -66.115 -70.783   50 c2004021a.std
 459  299.408  159.851 2004  1 21  21 13   3 -66  7.100 -70 47.420 -66.118 -70.790  500 c2004021b.std
 465  300.205  139.885 2004  1 21  21 15  46 -66 14.660 -70 28.540 -66.244 -70.476  150 c2004021c.std
 466  299.994  139.496 2004  1 21  21 16   4 -66 14.890 -70 28.390 -66.248 -70.473  500 c2004021d.std
 474  299.925  119.576 2004  1 21  21 20  25 -66 22.710 -70 10.200 -66.378 -70.170   50 c2004021e.std
 475  299.962  119.311 2004  1 21  21 20  47 -66 22.800 -70  9.920 -66.380 -70.165  500 c2004021f.std
 483  299.787   99.325 2004  1 22  22 19  31 -66 30.650 -69 51.580 -66.511 -69.860  480 c2004022a.std
 489  300.073   79.917 2004  1 22  22 21  55 -66 38.070 -69 33.140 -66.634 -69.552  400 c2004022b.std
 500  199.938  -20.042 2004  1 23  23 18  16 -67 54.130 -69 37.010 -67.902 -69.617  150 c2004023a.std
 507  200.565  -59.985 2004  1 23  23 23  32 -68  9.300 -68 56.400 -68.155 -68.940  207 c2004023b.std
 513  247.241  -63.171 2004  1 24  24 12  50 -67 52.800 -68  5.700 -67.880 -68.095  508 c2004024a.std
 515  256.470  -51.353 2004  1 24  24 14  55 -67 44.800 -68  8.400 -67.747 -68.140  498 c2004024b.std
 515  267.687  -35.472 2004  1 24  24 16  49 -67 34.500 -68 13.160 -67.575 -68.219  543 c2004024c.std
 518  215.795  -68.637 2004  1 25  25 14  45 -68  6.850 -68 32.000 -68.114 -68.533  457 c2004025a.std
 527  215.553  -68.841 2004  1 25  25 18  33 -68  7.020 -68 32.040 -68.117 -68.534   25 c2004025b.std
 531  215.767  -68.701 2004  1 25  25 21  36 -68  6.880 -68 31.960 -68.115 -68.533   18 c2004025c.std
 533  215.779  -68.752 2004  1 26  26  1  32 -68  6.900 -68 31.900 -68.115 -68.532   18 c2004026a.std
 534  215.658  -68.814 2004  1 26  26  4  33 -68  6.970 -68 31.960 -68.116 -68.533   18 c2004026b.std
 545  199.829  -40.043 2004  1 26  26 11  50 -68  1.900 -69 17.220 -68.032 -69.287   46 c2004026c.std
 547  199.812   -0.021 2004  1 26  26 15  53 -67 46.400 -69 56.840 -67.773 -69.947  700 c2004026d.std
 554  200.207   20.086 2004  1 26  26 19  38 -67 38.400 -70 16.000 -67.640 -70.267  550 c2004026e.std
 557  200.270   40.418 2004  1 26  26 22  23 -67 30.400 -70 35.500 -67.507 -70.592  749 c2004026f.std
 571  199.945   59.927 2004  1 27  27 19   3 -67 22.830 -70 54.400 -67.380 -70.907   50 c2004027a.std
 572  199.835   59.902 2004  1 27  27 19  17 -67 22.880 -70 54.490 -67.381 -70.908  500 c2004027b.std
 582  200.034   80.078 2004  1 27  27 23  31 -67 14.820 -71 13.280 -67.247 -71.221   80 c2004027c.std
 583  199.944   80.034 2004  1 28  28  0  11 -67 14.870 -71 13.330 -67.248 -71.222  400 c2004028a.std
 596  199.990  100.066 2004  1 28  28  9   1 -67  6.890 -71 31.930 -67.115 -71.532   50 c2004028b.std
 597  199.903   99.814 2004  1 28  28  9  35 -67  7.020 -71 31.790 -67.117 -71.530  500 c2004028c.std
 602  199.908  120.029 2004  1 28  28 11  52 -66 58.950 -71 50.400 -66.983 -71.840   50 c2004028d.std
 603  199.862  120.184 2004  1 28  28 12  25 -66 58.900 -71 50.590 -66.982 -71.843  440 c2004028e.std
 613  199.987  139.998 2004  1 28  28 16  57 -66 50.910 -72  8.510 -66.848 -72.142   85 c2004028f.std
 614  199.929  140.000 2004  1 28  28 17  30 -66 50.930 -72  8.570 -66.849 -72.143  410 c2004028g.std
 624  199.993  159.876 2004  1 28  28 22  31 -66 42.900 -72 26.410 -66.715 -72.440  110 c2004028h.std
 625  199.912  159.959 2004  1 28  28 23  32 -66 42.900 -72 26.570 -66.715 -72.443 3000 c2004028i.std
 637  200.000  179.973 2004  1 29  29  5  34 -66 34.780 -72 44.320 -66.580 -72.739  108 c2004029a.std
 638  200.068  179.886 2004  1 29  29 10  40 -66 34.790 -72 44.170 -66.580 -72.736 3500 c2004029b.std
 646  199.859  199.538 2004  1 29  29 15  52 -66 26.890 -73  1.710 -66.448 -73.029 3600 c2004029c.std
 658  300.090   59.796 2004  1 30  30  9  55 -66 45.830 -69 14.100 -66.764 -69.235   77 c2004030a.std
 659  299.815   59.208 2004  1 30  30 10  19 -66 46.160 -69 13.810 -66.769 -69.230  200 c2004030b.std
 664  300.053   40.042 2004  1 30  30 12  22 -66 53.430 -68 55.270 -66.891 -68.921   74 c2004030c.std
 665  299.569   39.848 2004  1 30  30 12  48 -66 53.690 -68 55.550 -66.895 -68.926  500 c2004030d.std
 672  380.436    9.404 2004  1 30  30 21  31 -66 34.240 -67  8.800 -66.571 -67.147  592 c2004030e.std
 679  439.880   15.047 2004  1 31  31 12   6 -66  8.920 -66 19.520 -66.149 -66.325  450 c2004031a.std
