studyName,Grid Line,Grid Station,Name,Latitude (Œ_),Longitude (Œ_),Grid code
Sampling Grid,600,20,600.200,-65.05136,-64.08062,1
Sampling Grid,600,40,600.400,-64.93333,-64.4,1
Sampling Grid,600,60,600.600,-64.81464,-64.71657,1
Sampling Grid,600,80,600.800,-64.69528,-65.03036,1
Sampling Grid,600,100,600.100,-64.57527,-65.34139,1
Sampling Grid,600,120,600.120,-64.45461,-65.64968,1
Sampling Grid,600,140,600.140,-64.33333,-65.95526,1
Sampling Grid,600,160,600.160,-64.21142,-66.25815,1
Sampling Grid,600,180,600.180,-64.0889,-66.55838,1
Sampling Grid,600,200,600.200,-63.96578,-66.85597,1
Sampling Grid,600,220,600.220,-63.842,-67.15094,1
Sampling Grid,700,0,700.000,-64.48202,-62.40207,1
Sampling Grid,700,20,700.200,-64.36761,-62.72197,1
Sampling Grid,700,40,700.400,-64.25251,-63.03922,1
Sampling Grid,700,60,700.600,-64.13672,-63.35383,1
Sampling Grid,700,80,700.800,-64.02026,-63.66582,1
Sampling Grid,700,100,700.100,-63.90313,-63.97522,1
Sampling Grid,700,120,700.120,-63.78535,-64.28203,1
Sampling Grid,700,140,700.140,-63.66693,-64.5863,1
Sampling Grid,700,160,700.160,-63.54787,-64.88802,1
Sampling Grid,700,180,700.180,-63.4282,-65.18723,1
Sampling Grid,700,200,700.200,-63.3079,-65.48395,1
Sampling Grid,700,220,700.220,-63.18699,-65.77819,1
Sampling Grid,800,0,800.000,-63.78346,-61.11261,1
Sampling Grid,800,20,800.200,-63.67186,-61.42973,1
Sampling Grid,800,40,800.400,-63.55956,-61.74436,1
Sampling Grid,800,60,800.600,-63.44657,-62.05652,1
Sampling Grid,800,80,800.800,-63.33289,-62.36622,1
Sampling Grid,800,100,800.100,-63.21855,-62.67348,1
Sampling Grid,800,120,800.120,-63.10354,-62.97832,1
Sampling Grid,800,140,800.140,-62.98788,-63.28075,1
Sampling Grid,800,160,800.160,-62.87157,-63.58079,1
Sampling Grid,800,180,800.180,-62.75464,-63.87846,1
Sampling Grid,800,200,800.200,-62.63708,-64.17378,1
Sampling Grid,800,220,800.220,-62.51891,-64.46675,1
Sampling Grid,900,0,900.000,-63.07408,-59.88577,1
Sampling Grid,900,20,900.200,-62.96517,-60.19971,1
Sampling Grid,900,40,900.400,-62.85555,-60.51133,1
Sampling Grid,900,60,900.600,-62.74524,-60.82063,1
Sampling Grid,900,80,900.800,-62.63425,-61.12763,1
Sampling Grid,900,100,900.100,-62.52257,-61.43234,1
Sampling Grid,900,120,900.120,-62.41023,-61.73478,1
Sampling Grid,900,140,900.140,-62.29722,-62.03495,1
Sampling Grid,900,160,900.160,-62.18357,-62.33288,1
Sampling Grid,900,180,900.180,-62.06928,-62.62857,1
Sampling Grid,900,200,900.200,-61.95436,-62.92204,1
Sampling Grid,900,220,900.220,-61.83881,-63.21331,1
Sampling Grid,623.12,39.57,B,-64.7795,-64.0725,4
Sampling Grid,621.13,35.83,E,-64.815,-64.0405,4
Sampling Grid,584.73,131.71,Trap,-64.48433,-66.04367,4
Sampling Grid,290.49,-21.25,Rothera,-67.34,-68.08,4
