"studyName","Name","Latitude (º)","Longitude (º)","Grid code","Notes"
"Sampling Grid",005.250,-68.76731,-73.86425,2,
"Sampling Grid",005.300,-68.73295,-73.94323,2,
"Sampling Grid",005.350,-68.69856,-74.02197,2,
"Sampling Grid",005.400,-68.66413,-74.10047,2,
"Sampling Grid",005.450,-68.62967,-74.17872,2,
"Sampling Grid",005.500,-68.59517,-74.25674,2,
"Sampling Grid",005.550,-68.56064,-74.33451,2,
"Sampling Grid",005.600,-68.52608,-74.41205,2,
"Sampling Grid",005.650,-68.49148,-74.48935,2,
"Sampling Grid",005.700,-68.45685,-74.56642,2,
"Sampling Grid",005.750,-68.42219,-74.64325,2,
"Sampling Grid",005.800,-68.38749,-74.71984,2,
"Sampling Grid",005.850,-68.35276,-74.79621,2,
"Sampling Grid",005.900,-68.318,-74.87234,2,
"Sampling Grid",005.950,-68.28321,-74.94823,2,
"Sampling Grid",005.100,-68.24839,-75.0239,2,
"Sampling Grid",005.105,-68.21353,-75.09934,2,
"Sampling Grid",005.110,-68.17864,-75.17455,2,
"Sampling Grid",005.115,-68.14372,-75.24953,2,
"Sampling Grid",005.120,-68.10877,-75.32428,2,
"Sampling Grid",005.125,-68.07379,-75.39881,2,
"Sampling Grid",005.130,-68.03878,-75.47312,2,
"Sampling Grid",005.135,-68.00373,-75.54719,2,
"Sampling Grid",005.140,-67.96866,-75.62105,2,
"Sampling Grid",005.145,-67.93356,-75.69468,2,
"Sampling Grid",005.150,-67.89842,-75.76809,2,
"Sampling Grid",005.155,-67.86326,-75.84128,2,
"Sampling Grid",005.160,-67.82806,-75.91426,2,
"Sampling Grid",005.165,-67.79284,-75.98701,2,
"Sampling Grid",005.170,-67.75759,-76.05954,2,
"Sampling Grid",005.175,-67.72231,-76.13186,2,
"Sampling Grid",005.180,-67.68699,-76.20396,2,
"Sampling Grid",005.185,-67.65165,-76.27584,2,
"Sampling Grid",005.190,-67.61629,-76.34751,2,
"Sampling Grid",005.195,-67.58089,-76.41897,2,
"Sampling Grid",005.200,-67.54546,-76.49021,2,
"Sampling Grid",010.000,-68.90967,-73.3708,2,
"Sampling Grid",010.500,-68.87553,-73.45106,2,
"Sampling Grid",010.100,-68.84135,-73.53107,2,
"Sampling Grid",010.150,-68.80714,-73.61083,2,
"Sampling Grid",010.200,-68.7729,-73.69035,2,
"Sampling Grid",010.250,-68.73862,-73.76963,2,
"Sampling Grid",010.300,-68.7043,-73.84866,2,
"Sampling Grid",010.350,-68.66995,-73.92745,2,
"Sampling Grid",010.400,-68.63556,-74.00599,2,
"Sampling Grid",010.450,-68.60115,-74.0843,2,
"Sampling Grid",010.500,-68.56669,-74.16237,2,
"Sampling Grid",010.550,-68.53221,-74.2402,2,
"Sampling Grid",010.600,-68.49769,-74.31779,2,
"Sampling Grid",010.650,-68.46313,-74.39514,2,
"Sampling Grid",010.700,-68.42854,-74.47226,2,
"Sampling Grid",010.750,-68.39392,-74.54915,2,
"Sampling Grid",010.800,-68.35927,-74.6258,2,
"Sampling Grid",010.850,-68.32459,-74.70222,2,
"Sampling Grid",010.900,-68.28987,-74.7784,2,
"Sampling Grid",010.950,-68.25512,-74.85436,2,
"Sampling Grid",010.100,-68.22034,-74.93008,2,
"Sampling Grid",010.105,-68.18552,-75.00558,2,
"Sampling Grid",010.110,-68.15068,-75.08084,2,
"Sampling Grid",010.115,-68.1158,-75.15588,2,
"Sampling Grid",010.120,-68.08089,-75.2307,2,
"Sampling Grid",010.125,-68.04595,-75.30528,2,
"Sampling Grid",010.130,-68.01098,-75.37964,2,
"Sampling Grid",010.135,-67.97598,-75.45378,2,
"Sampling Grid",010.140,-67.94095,-75.5277,2,
"Sampling Grid",010.145,-67.90589,-75.60139,2,
"Sampling Grid",010.150,-67.87079,-75.67486,2,
"Sampling Grid",010.155,-67.83567,-75.74812,2,
"Sampling Grid",010.160,-67.80052,-75.82115,2,
"Sampling Grid",010.165,-67.76533,-75.89396,2,
"Sampling Grid",010.170,-67.73012,-75.96656,2,
"Sampling Grid",010.175,-67.69488,-76.03894,2,
"Sampling Grid",010.180,-67.65961,-76.1111,2,
"Sampling Grid",010.185,-67.62431,-76.18305,2,
"Sampling Grid",010.190,-67.58898,-76.25478,2,
"Sampling Grid",010.195,-67.55363,-76.3263,2,
"Sampling Grid",010.200,-67.51824,-76.39761,2,
"Sampling Grid",015.000,-68.88069,-73.27618,2,
"Sampling Grid",015.500,-68.8466,-73.35648,2,
"Sampling Grid",015.100,-68.81247,-73.43654,2,
"Sampling Grid",015.150,-68.7783,-73.51635,2,
"Sampling Grid",015.200,-68.7441,-73.59592,2,
"Sampling Grid",015.250,-68.70986,-73.67524,2,
"Sampling Grid",015.300,-68.67559,-73.75432,2,
"Sampling Grid",015.350,-68.64128,-73.83316,2,
"Sampling Grid",015.400,-68.60694,-73.91176,2,
"Sampling Grid",015.450,-68.57257,-73.99012,2,
"Sampling Grid",015.500,-68.53816,-74.06824,2,
"Sampling Grid",015.550,-68.50371,-74.14612,2,
"Sampling Grid",015.600,-68.46924,-74.22376,2,
"Sampling Grid",015.650,-68.43473,-74.30117,2,
"Sampling Grid",015.700,-68.40018,-74.37834,2,
"Sampling Grid",015.750,-68.36561,-74.45528,2,
"Sampling Grid",015.800,-68.331,-74.53199,2,
"Sampling Grid",015.850,-68.29635,-74.60846,2,
"Sampling Grid",015.900,-68.26168,-74.6847,2,
"Sampling Grid",015.950,-68.22697,-74.76071,2,
"Sampling Grid",015.100,-68.19223,-74.83649,2,
"Sampling Grid",015.105,-68.15746,-74.91204,2,
"Sampling Grid",015.110,-68.12266,-74.98737,2,
"Sampling Grid",015.115,-68.08782,-75.06246,2,
"Sampling Grid",015.120,-68.05295,-75.13733,2,
"Sampling Grid",015.125,-68.01806,-75.21198,2,
"Sampling Grid",015.130,-67.98313,-75.2864,2,
"Sampling Grid",015.135,-67.94817,-75.3606,2,
"Sampling Grid",015.140,-67.91318,-75.43457,2,
"Sampling Grid",015.145,-67.87816,-75.50832,2,
"Sampling Grid",015.150,-67.84311,-75.58186,2,
"Sampling Grid",015.155,-67.80803,-75.65517,2,
"Sampling Grid",015.160,-67.77291,-75.72826,2,
"Sampling Grid",015.165,-67.73777,-75.80113,2,
"Sampling Grid",015.170,-67.7026,-75.87379,2,
"Sampling Grid",015.175,-67.6674,-75.94623,2,
"Sampling Grid",015.180,-67.63217,-76.01846,2,
"Sampling Grid",015.185,-67.59691,-76.09047,2,
"Sampling Grid",015.190,-67.56163,-76.16226,2,
"Sampling Grid",015.195,-67.52631,-76.23385,2,
"Sampling Grid",015.200,-67.49096,-76.30522,2,
"Sampling Grid",020.000,-68.85166,-73.18181,2,
"Sampling Grid",020.500,-68.81761,-73.26216,2,
"Sampling Grid",020.100,-68.78353,-73.34226,2,
"Sampling Grid",020.150,-68.7494,-73.42212,2,
"Sampling Grid",020.200,-68.71525,-73.50173,2,
"Sampling Grid",020.250,-68.68105,-73.5811,2,
"Sampling Grid",020.300,-68.64682,-73.66023,2,
"Sampling Grid",020.350,-68.61256,-73.73912,2,
"Sampling Grid",020.400,-68.57826,-73.81777,2,
"Sampling Grid",020.450,-68.54393,-73.89618,2,
"Sampling Grid",020.500,-68.50957,-73.97435,2,
"Sampling Grid",020.550,-68.47517,-74.05228,2,
"Sampling Grid",020.600,-68.44073,-74.12997,2,
"Sampling Grid",020.650,-68.40627,-74.20743,2,
"Sampling Grid",020.700,-68.37176,-74.28466,2,
"Sampling Grid",020.750,-68.33723,-74.36165,2,
"Sampling Grid",020.800,-68.30266,-74.43841,2,
"Sampling Grid",020.850,-68.26806,-74.51493,2,
"Sampling Grid",020.900,-68.23343,-74.59123,2,
"Sampling Grid",020.950,-68.19877,-74.66729,2,
"Sampling Grid",020.100,-68.16407,-74.74313,2,
"Sampling Grid",020.105,-68.12934,-74.81874,2,
"Sampling Grid",020.110,-68.09458,-74.89412,2,
"Sampling Grid",020.115,-68.05979,-74.96927,2,
"Sampling Grid",020.120,-68.02496,-75.0442,2,
"Sampling Grid",020.125,-67.99011,-75.1189,2,
"Sampling Grid",020.130,-67.95522,-75.19338,2,
"Sampling Grid",020.135,-67.9203,-75.26763,2,
"Sampling Grid",020.140,-67.88535,-75.34166,2,
"Sampling Grid",020.145,-67.85037,-75.41548,2,
"Sampling Grid",020.150,-67.81536,-75.48907,2,
"Sampling Grid",020.155,-67.78032,-75.56244,2,
"Sampling Grid",020.160,-67.74525,-75.63559,2,
"Sampling Grid",020.165,-67.71015,-75.70853,2,
"Sampling Grid",020.170,-67.67502,-75.78124,2,
"Sampling Grid",020.175,-67.63987,-75.85374,2,
"Sampling Grid",020.180,-67.60468,-75.92603,2,
"Sampling Grid",020.185,-67.56946,-75.9981,2,
"Sampling Grid",020.190,-67.53421,-76.06996,2,
"Sampling Grid",020.195,-67.49894,-76.1416,2,
"Sampling Grid",020.200,-67.46363,-76.21304,2,
"Sampling Grid",025.000,-68.82258,-73.08768,2,
"Sampling Grid",025.500,-68.78857,-73.16807,2,
"Sampling Grid",025.100,-68.75453,-73.24822,2,
"Sampling Grid",025.150,-68.72045,-73.32813,2,
"Sampling Grid",025.200,-68.68634,-73.40779,2,
"Sampling Grid",025.250,-68.65219,-73.48721,2,
"Sampling Grid",025.300,-68.618,-73.56638,2,
"Sampling Grid",025.350,-68.58379,-73.64532,2,
"Sampling Grid",025.400,-68.54953,-73.72401,2,
"Sampling Grid",025.450,-68.51524,-73.80247,2,
"Sampling Grid",025.500,-68.48092,-73.88069,2,
"Sampling Grid",025.550,-68.44656,-73.95867,2,
"Sampling Grid",025.600,-68.41217,-74.03642,2,
"Sampling Grid",025.650,-68.37775,-74.11393,2,
"Sampling Grid",025.700,-68.34329,-74.19121,2,
"Sampling Grid",025.750,-68.3088,-74.26825,2,
"Sampling Grid",025.800,-68.27428,-74.34506,2,
"Sampling Grid",025.850,-68.23972,-74.42164,2,
"Sampling Grid",025.900,-68.20513,-74.49799,2,
"Sampling Grid",025.950,-68.17051,-74.57411,2,
"Sampling Grid",025.100,-68.13585,-74.65,2,
"Sampling Grid",025.105,-68.10117,-74.72566,2,
"Sampling Grid",025.110,-68.06645,-74.80109,2,
"Sampling Grid",025.115,-68.0317,-74.8763,2,
"Sampling Grid",025.120,-67.99691,-74.95128,2,
"Sampling Grid",025.125,-67.9621,-75.02604,2,
"Sampling Grid",025.130,-67.92726,-75.10058,2,
"Sampling Grid",025.135,-67.89238,-75.17489,2,
"Sampling Grid",025.140,-67.85747,-75.24898,2,
"Sampling Grid",025.145,-67.82254,-75.32285,2,
"Sampling Grid",025.150,-67.78757,-75.3965,2,
"Sampling Grid",025.155,-67.75257,-75.46993,2,
"Sampling Grid",025.160,-67.71754,-75.54314,2,
"Sampling Grid",025.165,-67.68248,-75.61613,2,
"Sampling Grid",025.170,-67.64739,-75.68891,2,
"Sampling Grid",025.175,-67.61227,-75.76147,2,
"Sampling Grid",025.180,-67.57713,-75.83382,2,
"Sampling Grid",025.185,-67.54195,-75.90595,2,
"Sampling Grid",025.190,-67.50674,-75.97787,2,
"Sampling Grid",025.195,-67.47151,-76.04958,2,
"Sampling Grid",025.200,-67.43624,-76.12107,2,
"Sampling Grid",030.000,-68.79344,-72.9938,2,
"Sampling Grid",030.500,-68.75948,-73.07423,2,
"Sampling Grid",030.100,-68.72548,-73.15443,2,
"Sampling Grid",030.150,-68.69144,-73.23438,2,
"Sampling Grid",030.200,-68.65737,-73.31409,2,
"Sampling Grid",030.250,-68.62327,-73.39355,2,
"Sampling Grid",030.300,-68.58913,-73.47277,2,
"Sampling Grid",030.350,-68.55495,-73.55176,2,
"Sampling Grid",030.400,-68.52074,-73.6305,2,
"Sampling Grid",030.450,-68.4865,-73.70901,2,
"Sampling Grid",030.500,-68.45222,-73.78727,2,
"Sampling Grid",030.550,-68.41791,-73.86531,2,
"Sampling Grid",030.600,-68.38356,-73.9431,2,
"Sampling Grid",030.650,-68.34918,-74.02066,2,
"Sampling Grid",030.700,-68.31476,-74.09799,2,
"Sampling Grid",030.750,-68.28032,-74.17509,2,
"Sampling Grid",030.800,-68.24584,-74.25195,2,
"Sampling Grid",030.850,-68.21132,-74.32858,2,
"Sampling Grid",030.900,-68.17677,-74.40498,2,
"Sampling Grid",030.950,-68.14219,-74.48115,2,
"Sampling Grid",030.100,-68.10758,-74.55709,2,
"Sampling Grid",030.105,-68.07294,-74.63281,2,
"Sampling Grid",030.110,-68.03826,-74.7083,2,
"Sampling Grid",030.115,-68.00355,-74.78356,2,
"Sampling Grid",030.120,-67.96881,-74.8586,2,
"Sampling Grid",030.125,-67.93404,-74.93341,2,
"Sampling Grid",030.130,-67.89924,-75.008,2,
"Sampling Grid",030.135,-67.8644,-75.08237,2,
"Sampling Grid",030.140,-67.82954,-75.15652,2,
"Sampling Grid",030.145,-67.79464,-75.23044,2,
"Sampling Grid",030.150,-67.75972,-75.30415,2,
"Sampling Grid",030.155,-67.72476,-75.37764,2,
"Sampling Grid",030.160,-67.68977,-75.45091,2,
"Sampling Grid",030.165,-67.65475,-75.52396,2,
"Sampling Grid",030.170,-67.6197,-75.5968,2,
"Sampling Grid",030.175,-67.58463,-75.66942,2,
"Sampling Grid",030.180,-67.54952,-75.74182,2,
"Sampling Grid",030.185,-67.51438,-75.81401,2,
"Sampling Grid",030.190,-67.47922,-75.88599,2,
"Sampling Grid",030.195,-67.44402,-75.95776,2,
"Sampling Grid",030.200,-67.4088,-76.02931,2,
"Sampling Grid",035.000,-68.76425,-72.90016,2,
"Sampling Grid",035.500,-68.73033,-72.98064,2,
"Sampling Grid",035.100,-68.69637,-73.06088,2,
"Sampling Grid",035.150,-68.66238,-73.14087,2,
"Sampling Grid",035.200,-68.62836,-73.22063,2,
"Sampling Grid",035.250,-68.5943,-73.30014,2,
"Sampling Grid",035.300,-68.5602,-73.37941,2,
"Sampling Grid",035.350,-68.52607,-73.45843,2,
"Sampling Grid",035.400,-68.4919,-73.53723,2,
"Sampling Grid",035.450,-68.4577,-73.61578,2,
"Sampling Grid",035.500,-68.42347,-73.6941,2,
"Sampling Grid",035.550,-68.3892,-73.77217,2,
"Sampling Grid",035.600,-68.35489,-73.85002,2,
"Sampling Grid",035.650,-68.32055,-73.92763,2,
"Sampling Grid",035.700,-68.28618,-74.00501,2,
"Sampling Grid",035.750,-68.25178,-74.08215,2,
"Sampling Grid",035.800,-68.21734,-74.15906,2,
"Sampling Grid",035.850,-68.18287,-74.23575,2,
"Sampling Grid",035.900,-68.14836,-74.3122,2,
"Sampling Grid",035.950,-68.11383,-74.38842,2,
"Sampling Grid",035.100,-68.07926,-74.46442,2,
"Sampling Grid",035.105,-68.04465,-74.54019,2,
"Sampling Grid",035.110,-68.01002,-74.61573,2,
"Sampling Grid",035.115,-67.97535,-74.69105,2,
"Sampling Grid",035.120,-67.94066,-74.76614,2,
"Sampling Grid",035.125,-67.90593,-74.84101,2,
"Sampling Grid",035.130,-67.87116,-74.91565,2,
"Sampling Grid",035.135,-67.83637,-74.99007,2,
"Sampling Grid",035.140,-67.80155,-75.06428,2,
"Sampling Grid",035.145,-67.76669,-75.13826,2,
"Sampling Grid",035.150,-67.73181,-75.21202,2,
"Sampling Grid",035.155,-67.69689,-75.28557,2,
"Sampling Grid",035.160,-67.66195,-75.35889,2,
"Sampling Grid",035.165,-67.62697,-75.432,2,
"Sampling Grid",035.170,-67.59196,-75.5049,2,
"Sampling Grid",035.175,-67.55692,-75.57757,2,
"Sampling Grid",035.180,-67.52186,-75.65004,2,
"Sampling Grid",035.185,-67.48676,-75.72229,2,
"Sampling Grid",035.190,-67.45164,-75.79433,2,
"Sampling Grid",035.195,-67.41648,-75.86616,2,
"Sampling Grid",035.200,-67.3813,-75.93777,2,
"Sampling Grid",040.000,-68.735,-72.80677,2,
"Sampling Grid",040.500,-68.70113,-72.88729,2,
"Sampling Grid",040.100,-68.66722,-72.96758,2,
"Sampling Grid",040.150,-68.63327,-73.04761,2,
"Sampling Grid",040.200,-68.59929,-73.12741,2,
"Sampling Grid",040.250,-68.56527,-73.20696,2,
"Sampling Grid",040.300,-68.53122,-73.28628,2,
"Sampling Grid",040.350,-68.49713,-73.36535,2,
"Sampling Grid",040.400,-68.46301,-73.44419,2,
"Sampling Grid",040.450,-68.42885,-73.52279,2,
"Sampling Grid",040.500,-68.39466,-73.60115,2,
"Sampling Grid",040.550,-68.36043,-73.67928,2,
"Sampling Grid",040.600,-68.32617,-73.75717,2,
"Sampling Grid",040.650,-68.29188,-73.83483,2,
"Sampling Grid",040.700,-68.25755,-73.91226,2,
"Sampling Grid",040.750,-68.22318,-73.98945,2,
"Sampling Grid",040.800,-68.18879,-74.06641,2,
"Sampling Grid",040.850,-68.15436,-74.14315,2,
"Sampling Grid",040.900,-68.1199,-74.21965,2,
"Sampling Grid",040.950,-68.0854,-74.29592,2,
"Sampling Grid",040.100,-68.05088,-74.37197,2,
"Sampling Grid",040.105,-68.01632,-74.44779,2,
"Sampling Grid",040.110,-67.98172,-74.52339,2,
"Sampling Grid",040.115,-67.9471,-74.59875,2,
"Sampling Grid",040.120,-67.91244,-74.6739,2,
"Sampling Grid",040.125,-67.87776,-74.74882,2,
"Sampling Grid",040.130,-67.84304,-74.82352,2,
"Sampling Grid",040.135,-67.80828,-74.898,2,
"Sampling Grid",040.140,-67.7735,-74.97226,2,
"Sampling Grid",040.145,-67.73869,-75.04629,2,
"Sampling Grid",040.150,-67.70385,-75.12011,2,
"Sampling Grid",040.155,-67.66897,-75.19371,2,
"Sampling Grid",040.160,-67.63407,-75.2671,2,
"Sampling Grid",040.165,-67.59913,-75.34026,2,
"Sampling Grid",040.170,-67.56416,-75.41321,2,
"Sampling Grid",040.175,-67.52917,-75.48595,2,
"Sampling Grid",040.180,-67.49414,-75.55847,2,
"Sampling Grid",040.185,-67.45909,-75.63078,2,
"Sampling Grid",040.190,-67.424,-75.70288,2,
"Sampling Grid",040.195,-67.38889,-75.77476,2,
"Sampling Grid",040.200,-67.35375,-75.84644,2,
"Sampling Grid",045.000,-68.7057,-72.71363,2,
"Sampling Grid",045.500,-68.67187,-72.79419,2,
"Sampling Grid",045.100,-68.638,-72.87451,2,
"Sampling Grid",045.150,-68.6041,-72.95459,2,
"Sampling Grid",045.200,-68.57016,-73.03443,2,
"Sampling Grid",045.250,-68.53619,-73.11403,2,
"Sampling Grid",045.300,-68.50218,-73.19339,2,
"Sampling Grid",045.350,-68.46814,-73.27251,2,
