"studyName","Event Number","Datetime GMT","Latitude dec. deg. (º)","Longitude dec. deg. (º)","Julian day","Station name","Percent_Irradiance (%)","Depth (m)","Primary Prod. (mg/m³/day)","Prim Prod STD (mg/m³/day)","Notes"
PAL9495,,"1994-12-21 12:25:00",-64.815,-64.03917,355,e,2,36,12.29,2.2,
PAL9495,,"1994-12-26 15:00:00",-64.77945,-64.0725,360,b,100,1,4.85,0.68,
PAL9495,,"1994-12-26 15:00:00",-64.77945,-64.0725,360,b,55,3,6.68,2.99,
PAL9495,,"1994-12-26 15:00:00",-64.77945,-64.0725,360,b,27,5,33.45,19.56,
PAL9495,,"1994-12-26 15:00:00",-64.77945,-64.0725,360,b,11,11,15.68,-999,
PAL9495,,"1994-12-26 15:00:00",-64.77945,-64.0725,360,b,5,19,23.74,14.78,
PAL9495,,"1994-12-26 15:00:00",-64.77945,-64.0725,360,b,2,31,2.65,0.17,
PAL9495,,"1994-12-26 14:25:00",-64.78833,-64.07278,360,c,100,1,14.43,0.22,
PAL9495,,"1994-12-26 14:25:00",-64.78833,-64.07278,360,c,55,2.5,32.03,7.18,
PAL9495,,"1994-12-26 14:25:00",-64.78833,-64.07278,360,c,27,9,24.16,5.45,
PAL9495,,"1994-12-26 14:25:00",-64.78833,-64.07278,360,c,11,17,18.27,-999,
PAL9495,,"1994-12-26 14:25:00",-64.78833,-64.07278,360,c,5,24.5,10.09,1.19,
PAL9495,,"1994-12-26 14:25:00",-64.78833,-64.07278,360,c,2,38,1.95,0.17,
PAL9495,,"1994-12-26 13:35:00",-64.80695,-64.05055,360,d,100,1,8.79,2.81,
PAL9495,,"1994-12-26 13:35:00",-64.80695,-64.05055,360,d,55,2.5,15.77,1.49,
PAL9495,,"1994-12-26 13:35:00",-64.80695,-64.05055,360,d,27,11.5,17.84,1.27,
PAL9495,,"1994-12-26 13:35:00",-64.80695,-64.05055,360,d,11,20,12.29,-999,
PAL9495,,"1994-12-26 13:35:00",-64.80695,-64.05055,360,d,5,29,9.97,0.78,
PAL9495,,"1994-12-26 13:35:00",-64.80695,-64.05055,360,d,2,44,1.48,0.31,
PAL9495,,"1994-12-26 12:50:00",-64.815,-64.04028,360,e,100,1,12.92,0.1,
PAL9495,,"1994-12-26 12:50:00",-64.815,-64.04028,360,e,55,5,12.83,1.01,
PAL9495,,"1994-12-26 12:50:00",-64.815,-64.04028,360,e,27,13,11.44,1.04,
PAL9495,,"1994-12-26 12:50:00",-64.815,-64.04028,360,e,11,23,17.64,-999,
PAL9495,,"1994-12-26 12:50:00",-64.815,-64.04028,360,e,5,31.5,14.97,0.23,
PAL9495,,"1994-12-26 12:50:00",-64.815,-64.04028,360,e,2,45.5,1.81,0.33,
PAL9495,,"1995-01-02 15:20:00",-64.77945,-64.0725,2,b,100,1,13.87,0.47,
PAL9495,,"1995-01-02 15:20:00",-64.77945,-64.0725,2,b,55,6,21.62,3.56,
PAL9495,,"1995-01-02 15:20:00",-64.77945,-64.0725,2,b,27,16,15.18,3.9,
PAL9495,,"1995-01-02 15:20:00",-64.77945,-64.0725,2,b,11,26,13.06,-999,
PAL9495,,"1995-01-02 15:20:00",-64.77945,-64.0725,2,b,5,37,9.53,0.08,
PAL9495,,"1995-01-02 15:20:00",-64.77945,-64.0725,2,b,2,50,3.83,0.29,
PAL9495,,"1995-01-02 14:35:00",-64.78833,-64.07278,2,c,100,1,11.31,0.04,
PAL9495,,"1995-01-02 14:35:00",-64.78833,-64.07278,2,c,55,11,19.61,2.3,
PAL9495,,"1995-01-02 14:35:00",-64.78833,-64.07278,2,c,27,20,18.6,4.02,
PAL9495,,"1995-01-02 14:35:00",-64.78833,-64.07278,2,c,11,32,10.99,-999,
PAL9495,,"1995-01-02 14:35:00",-64.78833,-64.07278,2,c,5,44,4.22,0.25,
PAL9495,,"1995-01-02 14:35:00",-64.78833,-64.07278,2,c,2,56,3.43,1.04,
